t,separation_m
34.217,3.5079
34.221,3.5183
34.237,3.5121
34.242,3.5225
34.282,3.5162
34.282,3.5267
34.284,3.5204
34.317,3.5310
34.317,3.5247
34.319,3.5352
34.319,3.5289
34.321,3.5395
34.337,3.5331
34.341,3.5438
34.357,3.5374
34.360,3.5480
34.378,3.5417
34.382,3.5524
34.397,3.5459
34.401,3.5567
34.418,3.5502
34.421,3.5610
34.438,3.5546
34.442,3.5654
34.458,3.5589
34.462,3.5697
34.478,3.5632
34.483,3.5741
34.498,3.5676
34.502,3.5785
34.517,3.5720
34.521,3.5829
34.538,3.5764
34.541,3.5873
34.557,3.5808
34.561,3.5918
34.577,3.5852
34.581,3.5962
34.597,3.5896
34.601,3.6007
34.619,3.5941
34.621,3.6052
34.638,3.5985
34.642,3.6096
34.657,3.6030
34.661,3.6141
34.678,3.6075
34.682,3.6187
34.697,3.6120
34.701,3.6232
34.717,3.6165
34.722,3.6277
34.737,3.6210
34.741,3.6323
34.758,3.6255
34.761,3.6369
34.778,3.6301
34.782,3.6414
34.799,3.6347
34.802,3.6460
34.818,3.6392
34.821,3.6506
34.838,3.6438
34.841,3.6553
34.858,3.6484
34.861,3.6599
34.878,3.6530
34.881,3.6645
34.897,3.6577
34.901,3.6692
34.917,3.6623
34.922,3.6739
34.937,3.6670
34.942,3.6785
34.957,3.6716
34.961,3.6832
34.977,3.6763
34.982,3.6879
34.997,3.6810
35.001,3.6927
35.017,3.6857
35.021,3.6974
35.037,3.6904
35.041,3.7021
35.058,3.6951
35.061,3.7069
35.077,3.6998
35.081,3.7116
35.097,3.7046
35.102,3.7164
35.118,3.7094
35.121,3.7212
35.150,3.7141
35.150,3.7260
35.157,3.7189
35.162,3.7308
35.177,3.7237
35.183,3.7356
35.210,3.7285
35.211,3.7404
35.217,3.7333
35.222,3.7453
35.237,3.7381
35.242,3.7501
35.257,3.7430
35.260,3.7550
35.277,3.7478
35.282,3.7599
35.298,3.7527
35.301,3.7648
35.318,3.7575
35.321,3.7697
35.337,3.7624
35.341,3.7746
35.357,3.7673
35.361,3.7795
35.377,3.7722
35.381,3.7844
35.397,3.7771
35.401,3.7894
35.418,3.7820
35.421,3.7943
35.437,3.7870
35.441,3.7993
35.457,3.7919
35.462,3.8042
35.477,3.7969
35.481,3.8092
35.498,3.8018
35.502,3.8142
35.518,3.8068
35.522,3.8192
35.537,3.8118
35.541,3.8242
35.557,3.8168
35.560,3.8292
35.577,3.8218
35.581,3.8343
35.597,3.8268
35.602,3.8393
35.617,3.8318
35.621,3.8443
35.638,3.8369
35.641,3.8494
35.657,3.8419
35.661,3.8545
35.677,3.8470
35.681,3.8596
35.698,3.8520
35.701,3.8646
35.717,3.8571
35.721,3.8697
35.738,3.8622
35.741,3.8749
35.757,3.8673
35.761,3.8800
35.777,3.8724
35.782,3.8851
35.798,3.8775
35.802,3.8902
35.817,3.8826
35.822,3.8954
35.837,3.8878
35.842,3.9005
35.857,3.8929
35.861,3.9057
35.877,3.8981
35.882,3.9109
35.898,3.9032
35.901,3.9161
35.917,3.9084
35.920,3.9213
35.937,3.9136
35.941,3.9265
35.958,3.9188
35.961,3.9317
35.977,3.9240
35.982,3.9369
36.002,3.9292
36.002,3.9421
36.017,3.9344
36.021,3.9474
36.052,3.9396
36.054,3.9526
36.057,3.9448
36.063,3.9579
36.078,3.9501
36.081,3.9631
36.097,3.9553
36.101,3.9684
36.118,3.9606
36.121,3.9737
36.138,3.9659
36.142,3.9790
36.158,3.9711
36.162,3.9843
36.177,3.9764
36.181,3.9896
36.197,3.9817
36.202,3.9949
36.218,3.9870
36.222,4.0003
36.237,3.9924
36.241,4.0056
36.257,3.9977
36.261,4.0109
36.278,4.0030
36.281,4.0163
36.298,4.0084
36.301,4.0217
36.317,4.0137
36.322,4.0270
36.337,4.0191
36.342,4.0324
36.357,4.0244
36.362,4.0378
36.378,4.0298
36.381,4.0432
36.398,4.0352
36.402,4.0486
36.418,4.0406
36.422,4.0540
36.438,4.0460
36.442,4.0595
36.457,4.0514
36.461,4.0649
36.477,4.0568
36.482,4.0703
36.498,4.0623
36.502,4.0758
36.517,4.0677
36.522,4.0812
36.537,4.0731
36.541,4.0867
36.557,4.0786
36.562,4.0922
36.577,4.0840
36.582,4.0977
36.597,4.0895
36.601,4.1031
36.617,4.0950
36.622,4.1086
36.637,4.1005
36.641,4.1141
36.657,4.1060
36.661,4.1196
36.678,4.1115
36.681,4.1252
36.697,4.1170
36.701,4.1307
36.717,4.1225
36.721,4.1362
36.738,4.1280
36.741,4.1417
36.757,4.1335
36.761,4.1473
36.777,4.1390
36.780,4.1528
36.797,4.1445
36.801,4.1583
36.818,4.1501
36.821,4.1639
36.837,4.1556
36.842,4.1695
36.868,4.1612
36.868,4.1750
36.877,4.1667
36.881,4.1806
36.897,4.1723
36.901,4.1862
36.932,4.1778
36.932,4.1917
36.938,4.1834
36.941,4.1973
36.957,4.1890
36.961,4.2029
36.977,4.1946
36.982,4.2085
36.999,4.2002
37.003,4.2141
37.018,4.2058
37.022,4.2198
37.037,4.2114
37.041,4.2254
37.057,4.2170
37.061,4.2310
37.078,4.2226
37.081,4.2366
37.098,4.2282
37.101,4.2423
37.118,4.2338
37.121,4.2479
37.138,4.2395
37.142,4.2536
37.159,4.2451
37.162,4.2593
37.178,4.2508
37.181,4.2649
37.197,4.2564
37.201,4.2706
37.217,4.2621
37.222,4.2763
37.237,4.2678
37.241,4.2820
37.258,4.2735
37.261,4.2877
37.277,4.2792
37.281,4.2934
37.297,4.2849
37.302,4.2992
37.317,4.2906
37.321,4.3049
37.337,4.2963
37.341,4.3107
37.358,4.3021
37.361,4.3164
37.378,4.3078
37.381,4.3222
37.397,4.3136
37.401,4.3279
37.417,4.3193
37.421,4.3337
37.438,4.3251
37.441,4.3395
37.458,4.3309
37.462,4.3453
37.478,4.3367
37.482,4.3511
37.497,4.3425
37.501,4.3569
37.517,4.3483
37.521,4.3628
37.538,4.3541
37.541,4.3686
37.558,4.3599
37.561,4.3744
37.578,4.3657
37.581,4.3803
37.597,4.3716
37.602,4.3861
37.619,4.3774
37.621,4.3920
37.637,4.3833
37.641,4.3979
37.657,4.3891
37.662,4.4037
37.677,4.3950
37.682,4.4096
37.698,4.4009
37.702,4.4155
37.718,4.4068
37.721,4.4214
37.737,4.4127
37.741,4.4273
37.762,4.4186
37.762,4.4332
37.778,4.4245
37.781,4.4392
37.798,4.4304
37.816,4.4451
37.818,4.4363
37.822,4.4510
37.837,4.4422
37.841,4.4570
37.857,4.4482
37.861,4.4629
37.877,4.4541
37.881,4.4689
37.898,4.4601
37.901,4.4749
