t,separation_m
34.463,4.7682
34.471,4.7838
34.483,4.7745
34.492,4.7901
34.503,4.7808
34.512,4.7964
34.523,4.7871
34.533,4.8027
34.544,4.7934
34.553,4.8090
34.562,4.7997
34.572,4.8154
34.583,4.8060
34.593,4.8217
34.603,4.8124
34.613,4.8281
34.624,4.8187
34.632,4.8345
34.643,4.8251
34.653,4.8409
34.661,4.8315
34.672,4.8473
34.685,4.8379
34.693,4.8537
34.704,4.8443
34.713,4.8601
34.724,4.8507
34.732,4.8665
34.743,4.8571
34.752,4.8729
34.762,4.8635
34.772,4.8793
34.784,4.8699
34.793,4.8857
34.804,4.8763
34.813,4.8921
34.823,4.8827
34.832,4.8985
34.843,4.8891
34.852,4.9049
34.864,4.8955
34.872,4.9113
34.884,4.9019
34.892,4.9178
34.914,4.9083
34.914,4.9242
34.923,4.9147
34.933,4.9306
34.943,4.9211
34.952,4.9370
34.963,4.9276
34.973,4.9434
34.984,4.9340
34.993,4.9499
35.004,4.9404
35.014,4.9563
35.022,4.9468
35.032,4.9627
35.044,4.9532
35.053,4.9691
35.063,4.9597
35.072,4.9756
35.084,4.9661
35.093,4.9820
35.103,4.9725
35.113,4.9884
35.123,4.9789
35.132,4.9949
35.144,4.9854
35.153,5.0013
35.162,4.9918
35.172,5.0077
35.183,4.9982
35.194,5.0142
35.204,5.0046
35.214,5.0206
35.223,5.0111
35.232,5.0271
35.243,5.0175
35.252,5.0335
35.263,5.0239
35.272,5.0400
35.283,5.0304
35.292,5.0464
35.302,5.0368
35.312,5.0528
35.323,5.0433
35.333,5.0593
35.344,5.0497
35.355,5.0657
35.363,5.0561
35.373,5.0722
35.383,5.0626
35.392,5.0787
35.402,5.0690
35.413,5.0851
35.426,5.0755
35.432,5.0916
35.443,5.0819
35.452,5.0980
35.463,5.0884
35.473,5.1045
35.484,5.0948
35.492,5.1110
35.504,5.1013
35.514,5.1174
35.524,5.1078
35.533,5.1239
35.544,5.1142
35.553,5.1304
35.564,5.1207
35.574,5.1368
35.583,5.1271
35.592,5.1433
35.606,5.1336
35.611,5.1497
35.624,5.1400
35.632,5.1561
35.643,5.1464
35.652,5.1625
35.663,5.1528
35.673,5.1687
35.684,5.1590
35.692,5.1749
35.703,5.1652
35.713,5.1810
35.724,5.1713
35.734,5.1869
35.745,5.1772
35.752,5.1928
35.764,5.1831
35.774,5.1985
35.784,5.1887
35.793,5.2037
35.803,5.1940
35.813,5.2087
35.823,5.1990
35.831,5.2137
35.843,5.2039
35.851,5.2187
35.865,5.2089
35.872,5.2234
35.884,5.2137
35.893,5.2278
35.903,5.2181
35.914,5.2322
35.924,5.2224
35.932,5.2361
35.943,5.2263
35.959,5.2397
35.964,5.2299
35.972,5.2431
35.985,5.2333
35.992,5.2461
36.002,5.2363
36.013,5.2489
36.022,5.2390
36.033,5.2513
36.043,5.2414
36.052,5.2532
36.064,5.2434
36.072,5.2550
36.082,5.2452
36.092,5.2562
36.104,5.2464
36.113,5.2571
36.123,5.2473
36.132,5.2575
36.143,5.2477
36.152,5.2575
36.164,5.2477
36.172,5.2571
36.183,5.2473
36.192,5.2562
36.205,5.2464
36.213,5.2549
36.225,5.2451
36.232,5.2531
36.243,5.2433
36.254,5.2508
36.264,5.2411
36.272,5.2481
36.283,5.2384
36.292,5.2450
36.303,5.2352
36.312,5.2414
36.323,5.2316
36.332,5.2373
36.343,5.2275
36.352,5.2328
36.363,5.2230
36.371,5.2279
36.383,5.2181
36.393,5.2225
36.405,5.2127
36.413,5.2168
36.424,5.2070
36.432,5.2106
36.445,5.2009
36.454,5.2041
36.463,5.1944
36.472,5.1974
36.484,5.1876
36.492,5.1902
36.503,5.1805
36.513,5.1829
36.523,5.1732
36.532,5.1751
36.544,5.1654
36.552,5.1672
36.563,5.1575
36.572,5.1591
36.583,5.1494
36.592,5.1507
36.603,5.1410
36.612,5.1422
36.623,5.1325
36.632,5.1333
36.644,5.1237
36.652,5.1241
36.663,5.1145
36.672,5.1149
36.683,5.1053
36.691,5.1057
36.704,5.0961
36.712,5.0964
36.723,5.0868
36.734,5.0870
36.743,5.0774
36.752,5.0775
36.762,5.0679
36.773,5.0680
36.782,5.0584
36.792,5.0584
36.804,5.0488
36.811,5.0488
36.824,5.0392
36.832,5.0392
36.842,5.0296
36.853,5.0296
36.863,5.0201
36.872,5.0201
36.882,5.0105
36.892,5.0105
36.903,5.0009
36.913,5.0009
36.923,4.9914
36.932,4.9914
36.944,4.9818
36.951,4.9818
36.968,4.9723
36.974,4.9723
36.984,4.9628
36.992,4.9628
37.003,4.9533
37.012,4.9533
37.023,4.9438
37.032,4.9438
37.043,4.9343
37.054,4.9343
37.064,4.9248
37.072,4.9248
37.083,4.9153
37.093,4.9153
37.103,4.9058
37.113,4.9058
37.123,4.8964
37.132,4.8964
37.143,4.8870
37.152,4.8870
37.163,4.8775
37.173,4.8775
37.183,4.8681
37.195,4.8681
37.204,4.8587
37.212,4.8587
37.225,4.8493
37.232,4.8493
37.244,4.8399
37.252,4.8399
37.263,4.8305
37.272,4.8305
37.284,4.8211
37.292,4.8211
37.304,4.8118
37.311,4.8118
37.325,4.8024
37.333,4.8024
37.344,4.7931
37.352,4.7931
37.363,4.7838
37.373,4.7838
37.384,4.7745
37.392,4.7745
37.404,4.7652
37.412,4.7652
37.423,4.7559
37.432,4.7559
37.443,4.7466
37.452,4.7466
37.464,4.7373
37.472,4.7373
37.484,4.7281
37.492,4.7281
37.503,4.7188
37.513,4.7188
37.523,4.7096
37.532,4.7096
37.545,4.7004
37.552,4.7004
37.563,4.6911
