t,separation_m
32.480,3.5648
32.482,3.5583
32.500,3.5692
32.502,3.5627
32.520,3.5735
32.522,3.5670
32.540,3.5779
32.542,3.5714
32.562,3.5823
32.563,3.5758
32.581,3.5868
32.581,3.5802
32.604,3.5912
32.604,3.5846
32.628,3.5956
32.628,3.5890
32.641,3.5825
32.642,3.5935
32.660,3.6046
32.661,3.5979
32.681,3.6091
32.681,3.6024
32.701,3.6136
32.703,3.6069
32.720,3.6181
32.723,3.6114
32.741,3.6226
32.741,3.6159
32.762,3.6272
32.762,3.6204
32.780,3.6317
32.782,3.6250
32.802,3.6183
32.803,3.6295
32.821,3.6409
32.821,3.6341
32.840,3.6455
32.843,3.6387
32.861,3.6501
32.862,3.6433
32.881,3.6547
32.881,3.6479
32.900,3.6593
32.901,3.6525
32.921,3.6640
32.922,3.6571
32.940,3.6686
32.941,3.6617
32.961,3.6733
32.962,3.6664
32.980,3.6780
32.982,3.6711
33.000,3.6827
33.002,3.6757
33.020,3.6874
33.021,3.6804
33.041,3.6921
33.041,3.6851
33.061,3.6968
33.061,3.6898
33.079,3.7016
33.080,3.6946
33.101,3.7063
33.102,3.6993
33.121,3.7111
33.122,3.7040
33.141,3.7159
33.142,3.7088
33.160,3.7206
33.161,3.7136
33.180,3.7254
33.181,3.7183
33.200,3.7302
33.201,3.7231
33.220,3.7351
33.221,3.7279
33.241,3.7399
33.242,3.7328
33.260,3.7447
33.261,3.7376
33.280,3.7496
33.282,3.7424
33.300,3.7544
33.301,3.7473
33.321,3.7593
33.322,3.7521
33.351,3.7642
33.351,3.7570
33.369,3.7691
33.369,3.7619
33.380,3.7740
33.382,3.7667
33.400,3.7789
33.402,3.7716
33.420,3.7838
33.421,3.7766
33.440,3.7888
33.441,3.7815
33.460,3.7937
33.462,3.7864
33.480,3.7987
33.481,3.7913
33.500,3.8036
33.501,3.7963
33.520,3.8086
33.521,3.8013
33.541,3.8136
33.541,3.8062
33.560,3.8186
33.563,3.8112
33.580,3.8236
33.585,3.8162
33.600,3.8286
33.602,3.8212
33.620,3.8337
33.621,3.8262
33.640,3.8387
33.641,3.8312
33.660,3.8437
33.663,3.8363
33.680,3.8488
33.682,3.8413
33.700,3.8539
33.701,3.8464
33.720,3.8389
33.721,3.8514
33.741,3.8640
33.741,3.8565
33.760,3.8691
33.763,3.8616
33.780,3.8742
33.784,3.8667
33.800,3.8793
33.800,3.8718
33.820,3.8845
33.822,3.8769
33.841,3.8896
33.842,3.8820
