t,separation_m
34.506,1.6463
34.509,1.6348
34.525,1.6519
34.529,1.6404
34.545,1.6576
34.548,1.6461
34.566,1.6634
34.568,1.6520
34.585,1.6694
34.589,1.6579
34.606,1.6754
34.609,1.6640
34.625,1.6815
34.628,1.6701
34.645,1.6878
34.648,1.6764
34.665,1.6941
34.668,1.6828
34.686,1.7006
34.691,1.6892
34.705,1.7071
34.708,1.6958
34.725,1.7137
34.729,1.7024
34.746,1.7204
34.748,1.7091
34.765,1.7272
34.768,1.7160
34.786,1.7341
34.789,1.7229
34.806,1.7411
34.808,1.7299
34.825,1.7482
34.829,1.7370
34.846,1.7553
34.849,1.7442
34.865,1.7626
34.868,1.7514
34.885,1.7699
34.889,1.7588
34.905,1.7772
34.908,1.7662
34.925,1.7847
34.928,1.7737
34.945,1.7924
34.948,1.7813
34.965,1.8001
34.969,1.7891
34.985,1.8079
34.989,1.7969
35.007,1.8158
35.008,1.8049
35.025,1.8239
35.028,1.8129
35.045,1.8320
35.048,1.8211
35.080,1.8401
35.081,1.8293
35.085,1.8484
35.088,1.8376
35.105,1.8567
35.108,1.8459
35.125,1.8652
35.129,1.8546
35.146,1.8738
35.149,1.8635
35.165,1.8829
35.168,1.8729
35.185,1.8922
35.189,1.8825
35.205,1.9019
35.209,1.8925
35.225,1.9119
35.229,1.9028
35.245,1.9223
35.248,1.9135
35.265,1.9330
35.269,1.9244
35.285,1.9439
35.289,1.9357
35.305,1.9552
35.308,1.9472
35.325,1.9668
35.329,1.9591
35.345,1.9787
35.349,1.9712
35.365,1.9908
35.368,1.9837
35.385,2.0033
35.388,1.9964
35.405,2.0161
35.408,2.0094
35.425,2.0291
35.428,2.0227
35.446,2.0424
35.448,2.0363
35.466,2.0560
35.469,2.0502
35.486,2.0699
35.489,2.0644
35.505,2.0841
35.509,2.0788
35.525,2.0985
35.529,2.0935
35.545,2.1133
35.549,2.1085
35.565,2.1283
35.568,2.1238
35.586,2.1435
35.587,2.1393
35.605,2.1591
35.608,2.1551
35.625,2.1749
35.629,2.1712
35.645,2.1911
35.649,2.1876
35.665,2.2075
35.669,2.2043
35.685,2.2241
35.689,2.2213
35.705,2.2411
35.708,2.2385
35.725,2.2584
35.728,2.2560
35.746,2.2759
35.754,2.2739
35.765,2.2937
35.768,2.2920
35.786,2.3118
35.789,2.3104
35.806,2.3302
35.810,2.3291
