t,separation_m
37.062,3.7198
37.071,3.7091
37.082,3.7288
37.090,3.7180
37.101,3.7377
37.110,3.7268
37.122,3.7462
37.130,3.7353
37.141,3.7541
37.150,3.7432
37.161,3.7614
37.170,3.7504
37.181,3.7681
37.190,3.7571
37.202,3.7742
37.211,3.7632
37.221,3.7798
37.230,3.7687
37.241,3.7847
37.250,3.7737
37.261,3.7891
37.270,3.7780
37.281,3.7929
37.291,3.7818
37.301,3.7961
37.310,3.7850
37.322,3.7988
37.331,3.7876
37.342,3.8008
37.351,3.7896
37.362,3.8023
37.371,3.7911
37.382,3.8032
37.391,3.7919
37.402,3.8035
37.411,3.7922
37.421,3.8032
37.430,3.7919
37.441,3.8026
37.450,3.7913
37.461,3.8015
37.470,3.7901
37.481,3.7998
37.490,3.7885
37.501,3.7977
37.511,3.7864
37.521,3.7953
37.531,3.7839
37.541,3.7927
37.551,3.7813
37.560,3.7896
37.570,3.7782
37.581,3.7861
37.591,3.7746
37.602,3.7821
37.611,3.7706
37.621,3.7779
37.630,3.7664
37.641,3.7736
37.650,3.7621
37.661,3.7688
37.670,3.7572
37.681,3.7637
37.691,3.7522
37.702,3.7584
37.710,3.7468
37.721,3.7529
37.730,3.7413
37.741,3.7472
37.750,3.7356
37.761,3.7411
37.771,3.7294
37.781,3.7348
37.790,3.7232
37.802,3.7283
37.811,3.7166
37.821,3.7216
37.830,3.7099
37.841,3.7148
37.850,3.7031
37.861,3.7074
37.870,3.6957
37.882,3.6994
37.890,3.6877
37.902,3.6909
37.911,3.6791
37.921,3.6818
37.930,3.6700
37.942,3.6721
37.951,3.6604
37.961,3.6620
37.970,3.6502
37.981,3.6512
37.990,3.6394
38.001,3.6400
38.011,3.6281
38.023,3.6283
38.030,3.6164
38.042,3.6165
38.051,3.6046
38.062,3.6046
38.070,3.5927
38.082,3.5927
38.090,3.5808
38.102,3.5808
38.110,3.5688
38.121,3.5688
38.130,3.5569
38.141,3.5569
38.150,3.5449
