t,separation_m
10.568,3.6349
10.592,3.6349
10.592,3.6417
10.598,3.6417
10.608,3.6485
10.619,3.6485
10.626,3.6553
10.641,3.6553
10.647,3.6622
10.660,3.6622
10.667,3.6691
10.679,3.6691
10.684,3.6760
10.700,3.6760
10.707,3.6830
10.726,3.6829
10.726,3.6899
10.739,3.6897
10.746,3.6967
10.759,3.6962
10.765,3.7032
10.780,3.7028
10.786,3.7099
10.803,3.7098
10.806,3.7169
10.819,3.7169
10.859,3.7240
10.861,3.7240
10.862,3.7311
10.862,3.7311
10.862,3.7382
10.869,3.7382
10.872,3.7454
10.900,3.7454
10.906,3.7526
10.919,3.7526
10.926,3.7598
10.940,3.7598
10.946,3.7671
10.960,3.7671
11.038,3.7743
11.038,3.7743
11.039,3.7816
11.040,3.7816
11.040,3.7890
11.042,3.7890
11.042,3.7963
11.047,3.7962
11.047,3.8036
11.047,3.8033
11.052,3.8107
11.056,3.8102
11.058,3.8176
11.060,3.8168
11.061,3.8242
11.070,3.8233
11.075,3.8308
11.085,3.8302
11.091,3.8377
11.102,3.8374
11.106,3.8449
11.117,3.8449
11.120,3.8524
11.180,3.8524
11.185,3.8599
11.186,3.8599
11.190,3.8675
11.190,3.8675
11.194,3.8751
11.194,3.8751
11.199,3.8827
11.205,3.8827
11.214,3.8903
11.224,3.8903
11.233,3.8980
11.256,3.8980
11.327,3.9056
11.372,3.9056
11.373,3.9133
11.373,3.9133
11.373,3.9210
11.379,3.9210
11.388,3.9288
11.400,3.9288
11.405,3.9365
11.412,3.9364
11.413,3.9442
11.419,3.9442
11.427,3.9520
11.430,3.9520
11.435,3.9598
11.455,3.9598
11.462,3.9676
11.462,3.9676
11.469,3.9755
11.470,3.9755
11.590,3.9834
11.590,3.9834
11.590,3.9913
11.590,3.9913
11.590,3.9992
11.590,3.9992
11.590,4.0071
11.599,4.0071
11.607,4.0150
11.620,4.0150
11.622,4.0229
11.625,4.0226
11.639,4.0306
11.659,4.0301
11.684,4.0381
11.685,4.0378
11.685,4.0458
11.690,4.0458
11.692,4.0538
11.695,4.0538
11.697,4.0619
11.707,4.0619
11.709,4.0700
11.717,4.0700
11.726,4.0781
11.755,4.0781
11.758,4.0862
11.769,4.0862
11.776,4.0944
11.798,4.0944
11.804,4.1025
11.822,4.1025
11.858,4.1107
11.858,4.1107
11.858,4.1189
11.874,4.1189
11.887,4.1271
11.899,4.1271
11.908,4.1354
11.920,4.1354
11.926,4.1436
11.936,4.1436
11.945,4.1519
11.959,4.1519
11.968,4.1602
11.992,4.1602
11.992,4.1685
11.999,4.1685
12.010,4.1768
12.020,4.1768
12.028,4.1852
12.038,4.1852
12.048,4.1935
12.063,4.1935
12.066,4.2019
12.080,4.2019
12.087,4.2103
12.101,4.2103
12.107,4.2187
12.119,4.2187
12.127,4.2271
12.140,4.2271
12.146,4.2356
12.160,4.2356
12.165,4.2440
12.178,4.2440
12.186,4.2525
12.198,4.2525
12.208,4.2610
12.216,4.2610
12.227,4.2695
12.239,4.2695
12.246,4.2780
12.246,4.2780
12.246,4.2866
12.267,4.2866
